нілагерцаў	кілагерцаў
чаллвек	чалавек
пачата	паката
сяміголкі	сямігодкі
першаіі	першай
гучань	гучаць
беллрускіх	беларускіх
прыклал	прыклад
мастацтна	мастацтва
жывелы	жывёлы
лругую	другую
эмянілася	змянілася
магаэінаў	магазінаў
савецкан	савецкай
мастантве	мастацтве
бсларускі	беларускі
эдымках	здымках
алказвае	адказвае
сролкамі	сродкамі
калсктывам	калектывам
ніякая	нізкая
баракі	барані
рідактара	рэдактара
прамысловасні	прамысловасці
зоводы	заводы
Казекі	Калекі
кампаэітар	кампазітар
адноіі	адной
мііогія	многія
Патрыса	Патрыся
развіц	разніц
рублеў	рублёў
набынь	набыць
зааода	завода
культурн	культуры
Мікалан	Мікалай
прыгажоснь	прыгажосць
партмі	партыі
будупь	будуць
прыншоў	прыйшоў
сувяэь	сувязь
асновс	аснове
Беларуснага	Беларускага
булынка	будынка
русклй	рускай
эразумела	зразумела
бальніны	бальніцы
вымушан	вымушай
кульгуры	культуры
прээідэнта	прэзідэнта
Беларуснай	Беларускай
таксяма	таксама
млстацтва	мастацтва
народв	народа
з'яўляенца	з'яўляецца
ляцяць	лацяць
цаваць	цапаць
становішіа	становіцца
вадаправод	водаправод
чалавсцтва	чалавецтва
пакаэу	паказу
паказваюнь	паказваюць
жыауць	жывуць
эрабіла	зрабіла
рзботы	работы
калгасо	калгаса
Папова	Палова
нытанне	пытанне
ўпсршыню	ўпершыню
калгага	калгаса
Венеры	Венгры
пачушіі	пачуцці
яснага	ясната
паказоны	паказаны
Залескага	Залеснага
Маснве	Маскве
рлбочых	рабочых
адкаэнага	адказнага
рабіпь	рабіць
ляжынь	ляжыць
таорчых	творчых
глялач	глядач
сустракаюшіа	сустракаюцца
пералаць	перадаць
бараньба	барацьба
гаспадарні	гаспадаркі
лобрым	добрым
Палякоў	Палякаў
грамалства	грамадства
Вялінай	Вялікай
творау	творцу
рзботу	работу
раласна	радасна
чытаюнь	чытаюць
Канярына	Кацярына
буйнае	буйное
Мінсну	Мінску
калісь	колісь
дапамагань	дапамагаць
магаэіне	магазіне
Брэснкай	Брэсцкай
Маэураў	Мазураў
Селета	Сёлета
квмунізма	камунізма
нлроднай	народнай
кампаэіцыі	кампазіцыі
рускяй	рускай
шчасцс	шчасце
абавязан	абавязак
саныялістычных	сацыялістычных
датычынь	датычыць
Купллы	Купалы
разумень	разумець
вялінім	вялікім
наперал	наперад
ларэмна	дарэмна
пытвннях	пытаннях
калгаснан	калгаснай
пяртыі	партыі
адзначан	адзначай
кампаэітара	кампазітара
поглял	погляд
сввецкія	савецкія
рэспубліпы	рэспубліцы
трэняга	трэцяга
Андрэсвіч	Андрэевіч
вртысты	артысты
рыхтус	рыхтуе
мараць	мораць
манстар	майстар
назоўсёды	назаўсёды
ступсні	ступені
рэвалюныйнай	рэвалюцыйнай
банькоў	бацькоў
поспсхам	поспехам
вылатныя	выдатныя
будавань	будаваць
робіпь	робіць
хлопен	хлопец
працаваііь	працаваць
валася	вялася
рабопе	рабоце
лырыжор	дырыжор
адуканыі	адукацыі
раніны	раніцы
сацыяліэм	сацыялізм
гаспада	гаспода
выступаюнь	выступаюць
грамадскасні	грамадскасці
развіцня	развіцця
пісьменнінаў	пісьменнікаў
пакідаюнь	пакідаюць
лрэнна	дрэнна
Лобана	Лабана
сустрзчы	сустрэчы
наэывае	называе
грамадгтва	грамадства
эброяй	зброяй
Столінскага	Сталінскага
Рыгорам	Рысорам
бібліятэні	бібліятэкі
выклікас	выклікае
ларэчы	дарэчы
Мінсна	Мінска
прыдзецца	прыдаецца
намунізма	камунізма
імгненна	імгнення
паншоў	пайшоў
рэлактара	рэдактара
Мінснай	Мінскай
Паўлік	Паўлін
цяжкое	цяжкае
раэмешчаны	размешчаны
выглялае	выглядае
акнёраў	акцёраў
арнелі	арцелі
караблеў	караблёў
лругая	другая
пакілае	пакідае
пісьменнікяў	пісьменнікаў
мясновых	мясцовых
арганізапыі	арганізацыі
арганізавань	арганізаваць
Беллрусі	Беларусі
таорчага	творчага
Шзўчэнкі	Шаўчэнкі
уэроўні	узроўні
булаўнікоў	будаўнікоў
эаймае	займае
свсдчыць	сведчыць
выканаўнаў	выканаўцаў
павінпы	павінны
слравы	справы
сельсніх	сельскіх
прынянь	прыняць
ворыць	варыць
творчагці	творчасці
хопінь	хопіць
хутчэн	хутчэй
бібліятэн	бібліятэк
рэцэнэіі	рэцэнзіі
саллат	салдат
мастацтвз	мастацтва
Кармэн	Кармін
мвшыны	машыны
пачынаешіа	пачынаецца
Гапоўны	Галоўны
Спартак	Спартач
нанрыклад	напрыклад
Горкяга	Горкага
аялікія	вялікія
сванму	свайму
прысвосна	прысвоена
сввецкі	савецкі
Платон	Платан
Фларыды	Фларыны
санецкіх	савецкіх
нісьменнікаў	пісьменнікаў
белврускія	беларускія
відвць	відаць
Маскае	Маскве
чзрвеня	чэрвеня
блудніны	блудніцы
нсдахопы	недахопы
снайго	свайго
албыўся	адбыўся
эагінуў	загінуў
Левіна	Леніна
асвсты	асветы
напісаную	няпісаную
жыццем	жыццём
дакладах	накладах
народнаіі	народнай
няжкія	цяжкія
чалавен	чалавек
Капылі	Кавылі
алчуванне	адчуванне
нрадукцыі	прадукцыі
камсамольнаў	камсамольцаў
Малання	Мазання
тычнай	тычкай
гаспаларцы	гаспадарцы
Хойэінгера	Хойзінгера
санратар	сакратар
праводзінь	праводзіць
месііа	месца
ссльскага	сельскага
склаланы	складаны
задава	занава
чллавек	чалавек
змсшчаны	змешчаны
пісапь	пісаць
Корбан	Корбай
дзяцеіі	дзяцей
дакладнага	дакладнога
марода	марона
слектаклі	спектаклі
лругіх	другіх
дзеннасці	дзейнасці
з'яўляеццв	з'яўляецца
наролу	народу
артыгт	артыст
спраны	справы
эаканчэння	заканчэння
кллгаса	калгаса
Гроднв	Гродна
тзатраў	тэатраў
чалавскам	чалавекам
фільмв	фільма
эаймаюцца	займаюцца
прадпрысмствах	прадпрыемствах
Паньковай	Пяньковай
рвбоце	рабоце
Уладзі	Упадзі
ведань	ведаць
вртыст	артыст
Саюэам	Саюзам
лобрае	добрае
Малышаў	Малышоў
налгасе	калгасе
праноўныя	працоўныя
павеламляе	паведамляе
раэмова	размова
сабоіі	сабой
частны	частцы
выклікаюнь	выклікаюць
Баглановіча	Багдановіча
эасталіся	засталіся
Вадзім	Водзім
з'сзду	з'езду
мастацкаіі	мастацкай
нялікага	вялікага
Данілы	Давілы
дзінячых	дзіцячых
пералавога	перадавога
выказвас	выказвае
знансці	знайсці
русквга	рускага
чалавена	чалавека
традыныі	традыцыі
вялінай	вялікай
лобрую	добрую
пачушіё	пачуццё
зоўсёды	заўсёды
з'еэдзе	з'ездзе
мастакя	мастака
глворыць	гаворыць
стулэнты	студэнты
мастанкую	мастацкую
прадпрысмстваў	прадпрыемстваў
адэначыць	адзначыць
адняго	аднаго
нагалвае	нагадвае
творчвй	творчай
занода	завода
работні	работкі
эмагаліся	змагаліся
лраматурга	драматурга
эямнога	зямнога
таецца	тлецца
пачань	пачаць
ловасці	лопасці
радасні	радасці
лрацуюць	працуюць
беларуснія	беларускія
лругое	другое
краіпы	краіны
Анлрэевіч	Андрэевіч
гасней	гасцей
рвбочыя	рабочыя
цоўныя	поўныя
беларуснага	беларускага
плвінна	павінна
вылатным	выдатным
мільенаў	мільёнаў
аучылішча	вучылішча
паралы	парады
Мікаллй	Мікалай
ніволнай	ніводнай
дзвізам	дэвізам
фашыснкай	фашысцкай
прыклалаў	прыкладаў
рэжысер	рэжысёр
чалавеча	чалавека
камуністычнаіі	камуністычнай
эвесткі	звесткі
сведчынь	сведчыць
Рыгору	Рысору
ніякімі	нізкімі
справл	справа
чаецца	каецца
агабліва	асабліва
латычыць	датычыць
ральнага	рольнага
золежыць	залежыць
ляжыпь	ляжыць
Ленінл	Леніна
прадунцыі	прадукцыі
навелвальнікаў	наведвальнікаў
рлбоце	рабоце
нытворчасці	вытворчасці
выхоўвань	выхоўваць
энаёмы	знаёмы
Сталінв	Сталіна
дзяііей	дзяцей
мастацгва	мастацтва
апублікаваныя	апублікавання
тэвтраў	тэатраў
Брэсцнай	Брэсцкай
калентыў	калектыў
спраяа	справа
павіпна	павінна
артыстна	артыстка
нлошчы	плошчы
глсдачамі	гледачамі
аобласці	вобласці
налёты	палёты
паээія	паэзія
поспсхі	поспехі
нерыяд	перыяд
вызначынь	вызначыць
выкарыстоўвань	выкарыстоўваць
самадзеннасці	самадзейнасці
Галінай	Галіной
адуканыю	адукацыю
самадзейнаспі	самадзейнасці
далека	далёка
рускаіі	рускай
рэпсртуару	рэпертуару
аналіэу	аналізу
пялікая	вялікая
радасню	радасцю
чалавекв	чалавека
кіраўнінтвам	кіраўніцтвам
бібліятэкв	бібліятэка
пранаўнікоў	працаўнікоў
бачыцс	бачыце
Тілефоны	Тэлефоны
Ганнай	Ганкай
ўдзсльнікі	ўдзельнікі
выразнае	выразное
ауліцы	вуліцы
неквлькі	некалькі
страна	страва
лобрага	добрага
галоўнас	галоўнае
створлны	створаны
рвбочымі	рабочымі
праводзянь	праводзяць
напісанай	няпісанай
паэней	пазней
нікава	цікава
трымань	трымаць
Заканчінне	Заканчэнне
дзевянь	дзевяць
прызначан	прызначай
звязан	звязак
гвзеты	газеты
дзеньмі	дзецьмі
нахабна	пахабна
напісаным	няпісаным
Лснінскі	Ленінскі
будаўніцтвл	будаўніцтва
экзсмпляраў	экземпляраў
малалым	маладым
беларусклй	беларускай
другон	другой
энаходзіць	знаходзіць
налектыў	калектыў
прыэнанне	прызнанне
лагсра	лагера
паспяхоаа	паспяхова
купінь	купіць
раенах	раёнах
міліныі	міліцыі
раэдзеле	раздзеле
псрамогі	перамогі
нанцэрт	канцэрт
эпізолы	эпізоды
добран	добрай
Логінаў	Логікаў
Карней	Карпей
прачытань	прачытаць
лумаць	думаць
гагпадаркі	гаспадаркі
пвкуль	пакуль
всршах	вершах
прымаюнь	прымаюць
пвэтаў	паэтаў
цзнтры	цэнтры
выконваюнь	выконваюць
працуюпь	працуюць
вялікяя	вялікая
нялікую	вялікую
нарадку	парадку
вуліііы	вуліцы
беларусквй	беларускай
эаклікае	заклікае
Усесаюэнай	Усесаюзнай
эначнай	значнай
сучаснвй	сучаснай
рэдвкцыі	рэдакцыі
другос	другое
Гарбук	Гарбун
жышіём	жыццём
літаратурнан	літаратурнай
лавека	павека
мпогія	многія
жывелагадоўлі	жывёлагадоўлі
паларунак	падарунак
напісанае	няпісанае
савецк	савець
ніначасопіса	кіначасопіса
гыдзень	тыдзень
праііуе	працуе
вылатнага	выдатнага
налектывы	калектывы
зоўтрашні	заўтрашні
навінен	павінен
будаўніптва	будаўніцтва
набудавана	пабудавана
ствараюнь	ствараюць
эмяшчае	змяшчае
спраяу	справу
значпа	значна
яялікая	вялікая
выпушчаная	вылушчаная
чаланек	чалавек
ганарылі	гаварылі
кллектыву	калектыву
ванняў	ваннаў
Франко	Франка
спектанля	спектакля
налектыву	калектыву
пазіный	пазіцый
Камуністычнаіі	Камуністычнай
эскіэы	эскізы
няхаіі	няхай
Горкагя	Горкага
панінен	павінен
выпускас	выпускае
Варанко	Варанка
эдымкі	здымкі
асаблівз	асабліва
чалавекз	чалавека
муэычная	музычная
Антонаўны	Антонаўцы
прысвсчаныя	прысвечаныя
жыцнём	жыццём
гэтагз	гэтага
Ленінграла	Ленінграда
дваццань	дваццаць
нырашыў	вырашыў
абароназдольнасці	абараназдольнасці
вучынь	вучыць
робіііь	робіць
лэталі	дэталі
таксамз	таксама
Колька	Калька
пабывань	пабываць
пранягваў	працягваў
мпогіх	многіх
Анадэміі	Акадэміі
аялікую	вялікую
дапамоэе	дапамозе
самалет	самалёт
нврода	народа
выладзены	выдадзены
ведасш	ведаеш
сапраўлны	сапраўдны
нельгв	нельга
Паўлам	Паўзам
няшага	нашага
стаіпь	стаіць
алказала	адказала
савецкяй	савецкай
нядома	вядома
постань	постаць
сусветнаіі	сусветнай
э'ездзе	з'ездзе
Ленінв	Леніна
работнінаў	работнікаў
званнс	званне
нэнтра	цэнтра
лігаратуры	літаратуры
эвання	звання
ніволнага	ніводнага
нрадуктаў	прадуктаў
пяказаў	паказаў
тэатрм	тэатры
Тарасова	Тарасава
зоўважае	заўважае
Марыля	Марыла
хацслі	хацелі
сяайго	свайго
напісанымі	няпісанымі
выканаўны	выканаўцы
праяільна	правільна
дааялося	давялося
гакратар	сакратар
лелшых	лепшых
называюнь	называюць
слрава	справа
ціклвыя	цікавыя
прывёэ	прывёз
хлопна	хлопца
квлгаса	калгаса
літзратуры	літаратуры
Нарэшне	Нарэшце
раэмову	размову
булынак	будынак
ііартыі	партыі
спрлва	справа
Галоўнм	Галоўны
аднвго	аднаго
паяінна	павінна
прыходзянь	прыходзяць
спявас	спявае
яялікага	вялікага
намбінаце	камбінаце
яашага	вашага
вуліна	вуліца
воэера	возера
прыяэджаў	прыязджаў
пісьмс	пісьме
секныі	секцыі
налгасах	калгасах
ііапрыклад	напрыклад
Ціконкі	Цікоцкі
пабудава	пабудова
паэнаёміліся	пазнаёміліся
спрааы	справы
наэываюць	называюць
прысуджан	прысуджай
манстроў	майстроў
лырыжора	дырыжора
экэемпляраў	экземпляраў
Зананчэнне	Заканчэнне
пісвць	пісаць
садружнасні	садружнасці
аідаць	відаць
фестыаалю	фестывалю
зубраў	зуброў
цікявыя	цікавыя
імкнешіа	імкнецца
мінчвн	мінчан
калектыпу	калектыву
эаданні	заданні
творчас	творчае
беражна	беражка
Крылоў	Крылаў
муэыканты	музыканты
эксплуатаныі	эксплуатацыі
аырабы	вырабы
таорчасць	творчасць
Мінкевіча	Міцкевіча
прысве	прысне
пялікіх	вялікіх
Савеіікага	Савецкага
Паўловіч	Паўлавіч
Мінснім	Мінскім
савеіікага	савецкага
кампаэітары	кампазітары
даходзінь	даходзіць
вуліну	вуліцу
эабяспечана	забяспечана
аглялы	агляды
бібліятэна	бібліятэка
савецкаіі	савецкай
Уэброеных	Узброеных
налсжаць	належаць
нароткіх	кароткіх
гсраічнай	гераічнай
высокаіі	высокай
энаходзіўся	знаходзіўся
эакончыў	закончыў
бачань	бачаць
чвтыры	чатыры
нядлўна	нядаўна
электрыч	электрык
Маскне	Маскве
дзінячыя	дзіцячыя
невялікан	невялікай
гворчасць	творчасць
выладзена	выдадзена
Колася	Коласа
заключаешіа	заключаецца
калглса	калгаса
Шнрока	Шырока
часткя	частка
саяецкага	савецкага
сярздніх	сярэдніх
раэумець	разумець
нічогл	нічога
Беларуснім	Беларускім
побраз	вобраз
мастаноў	мастакоў
аышэйшай	вышэйшай
сустракаюнь	сустракаюць
эахапленнем	захапленнем
Валодзем	Валодаем
лраматычны	драматычны
тнорчых	творчых
эадачах	задачах
Буйнінкі	Буйніцкі
поэірк	позірк
творчасню	творчасцю
гаворыііь	гаворыць
грамадскан	грамадскай
людяей	людзей
палышоў	падышоў
грамадзянскан	грамадзянскай
всчарам	вечарам
сачынь	сачыць
аднавінь	аднавіць
партынных	партыйных
малядых	маладых
трэнім	трэцім
пралстаўнік	прадстаўнік
дыялаг	дыялог
саўтаса	саўгаса
всчароў	вечароў
прапоўных	працоўных
вядомв	вядома
ганорыць	гаворыць
тэзтраў	тэатраў
імення	іменна
ставіпь	ставіць
нлродныя	народныя
мастацклй	мастацкай
дзейнічаюнь	дзейнічаюць
зраэумела	зразумела
аялікая	вялікая
глядзень	глядзець
раецца	рвецца
Мікітв	Мікіта
дзіцячлй	дзіцячай
шырокя	шырока
поўнас	поўнае
нанцэрты	канцэрты
ставішіа	ставіцца
нумлры	нумары
раніцою	раніцаю
нічогз	нічога
выданнс	выданне
Міхвіл	Міхаіл
лртыст	артыст
беларуск	беларусь
малалымі	маладымі
губсрні	губерні
впошні	апошні
барапьбы	барацьбы
павысінь	павысіць
Алянсандр	Аляксандр
партызонскай	партызанскай
абавяэак	абавязак
сельскяй	сельскай
рэгпублікі	рэспублікі
павялічынь	павялічыць
творчзсці	творчасці
канферэнныі	канферэнцыі
працаіі	працай
матзрыялу	матэрыялу
гігторыі	гісторыі
Мезіна	Меліна
брыгвд	брыгад
выэначыць	вызначыць
эаймацца	займацца
здольнасні	здольнасці
яртысты	артысты
прыгажосні	прыгажосці
пакаленнс	пакаленне
праўдя	праўда
квлектыву	калектыву
расказваешіа	расказваецца
беларускяга	беларускага
арбіне	арбіце
даешіа	даецца
кожнля	кожная
Афрыны	Афрыцы
дываном	дыванам
савецніх	савецкіх
эастаецца	застаецца
Корсак	Карсак
гледяча	гледача
нершых	першых
плдзеі	падзеі
цінавасцю	цікавасцю
абмеркаваннс	абмеркаванне
глыбокас	глыбокае
гаспалары	гаспадары
псрамогу	перамогу
савенкая	савецкая
эвяртаюцца	звяртаюцца
зборнікя	зборніка
руснага	рускага
Буйнінкага	Буйніцкага
пажадань	пажадаць
гаворыпь	гаворыць
работпікаў	работнікаў
насельніцтпа	насельніцтва
паеэдкі	паездкі
Белврускія	Беларускія
Колага	Коласа
апааяданні	апавяданні
Мядзелі	Мадзелі
Расіяй	Расіян
Санецкі	Савецкі
нраўда	праўда
пядома	вядома
разумес	разумее
Волька	Вольна
сваболу	свабоду
музычнан	музычнай
флагамі	флатамі
албылося	адбылося
лелшыя	лепшыя
пралстаўлены	прадстаўлены
даводзішіа	даводзіцца
дзяўчвты	дзяўчаты
гправа	справа
алказны	адказны
дзеням	дзецям
характарыстыны	характарыстыцы
новлга	новага
праэаікаў	празаікаў
Співак	Спінак
Магілеўскага	Магілёўскага
калгаснінаў	калгаснікаў
памсшчыкаў	памешчыкаў
хочане	хочаце
эдароўе	здароўе
нарціны	карціны
паўдневых	паўднёвых
гпектакляў	спектакляў
адэначаюць	адзначаюць
беларугкай	беларускай
француэскіх	французскіх
сацыялістычнаіі	сацыялістычнай
эаймаў	займаў
арнестр	аркестр
Гомслі	Гомелі
зразумсць	зразумець
майстэрствя	майстэрства
манстэрні	майстэрні
аддаюнь	аддаюць
куплянь	купляць
замсжных	замежных
прадпрыемстааў	прадпрыемстваў
выпушчаныя	вылушчаныя
цікавасііь	цікавасць
глядзінь	глядзіць
павіннм	павінны
выпалкі	выпадкі
нуліся	дуліся
Трусаў	Трусоў
мастапкага	мастацкага
цоўных	поўных
гказаў	сказаў
верынь	верыць
аддань	аддаць
дзеннасць	дзейнасць
навуко	навука
Марынка	Марыйка
зонятках	занятках
нершую	першую
намуністычнай	камуністычнай
працанаць	працаваць
выпалкаў	выпадкаў
слвецкіх	савецкіх
првцэнтаў	працэнтаў
эвярнуць	звярнуць
шырона	шырока
Бялуля	Бядуля
хармайстар	хормайстар
хапелася	хацелася
марозы	маразы
Ляцяць	Лацяць
аыступілі	выступілі
суяязі	сувязі
скязаў	сказаў
прлцуюць	працуюць
займашіа	займацца
сакааіка	сакавіка
краіііы	краіны
адстайвалі	адстойвалі
творчлй	творчай
псрадавога	перадавога
вядзем	вядзём
эапаўняюць	запаўняюць
арнестра	аркестра
аыстаўцы	выстаўцы
палумаў	падумаў
нсвялікай	невялікай
муэыкай	музыкай
Пановай	Паповай
перавесні	перавесці
эаключаецца	заключаецца
нінатэатр	кінатэатр
уэначальвае	узначальвае
ноаымі	новымі
раенаў	раёнаў
Адііым	Адным
выдань	выдаць
раэдзел	раздзел
Алянсей	Аляксей
інстытуне	інстытуце
спектлклі	спектаклі
іііхто	ніхто
эемляробства	земляробства
дзсянні	дзеянні
маствцкі	мастацкі
нанцэртамі	канцэртамі
фабрыні	фабрыкі
Немана	Нёмана
акупаныі	акупацыі
багашія	багацця
дапамагаюнь	дапамагаюць
Паўліка	Паўліна
Дануты	Дакуты
павіпны	павінны
падарожнікаў	падарожнічаў
нершым	першым
сярздняй	сярэдняй
правільнл	правільна
партыннай	партыйнай
нытанню	пытанню
мастанкімі	мастацкімі
памяшнанні	памяшканні
вучыцна	вучыцца
алказаць	адказаць
свяломасць	свядомасць
пвэзіі	паэзіі
дзсяння	дзеяння
Іванава	Іванова
гавлрыў	гаварыў
кіраўпік	кіраўнік
дакладзс	дакладзе
глыбокв	глыбока
тэмнамі	тэмпамі
эаслужанага	заслужанага
эадума	задума
снэнарыя	сцэнарыя
будзсш	будзеш
будаўніцтвя	будаўніцтва
створвны	створаны
творчаіі	творчай
навслы	навелы
іюдзей	людзей
наныянальнай	нацыянальнай
алчуваючы	адчуваючы
неквторых	некаторых
нелахопамі	недахопамі
часоліс	часопіс
ходзіла	хадзіла
Друкврня	Друкарня
высоні	высокі
эробленыя	зробленыя
квстак	кветак
данамогай	дапамогай
ганарыў	гаварыў
барзцьбы	барацьбы
дружбс	дружбе
Квмуністычнай	Камуністычнай
чытасм	чытаем
вывучынь	вывучыць
эбіраецца	збіраецца
займаюшіа	займаюцца
фронне	фронце
сказяў	сказаў
адэначылі	адзначылі
павеламіў	паведаміў
забынь	забыць
спалчыны	спадчыны
ззўсёды	заўсёды
алмовіўся	адмовіўся
ведаене	ведаеце
првблем	праблем
прафсаюэа	прафсаюза
ныйдзе	выйдзе
Міністэрстаа	Міністэрства
сёльскай	сельскай
Маскво	Масква
нытання	пытання
праскта	праекта
ссльскі	сельскі
вяліка	валіка
вынаналі	выканалі
смеласнь	смеласць
палрыхтаваць	падрыхтаваць
бвчыць	бачыць
неўэабаве	неўзабаве
санавіна	садавіна
тубыльнаў	тубыльцаў
гаралской	гарадской
панінны	павінны
нысокія	высокія
нандыдат	кандыдат
еўрапейснаму	еўрапейскаму
нершаў	вершаў
сустрэчв	сустрэча
прысхаць	прыехаць
эвязаны	звязаны
дзядэька	дзядзька
заліты	эаліты
складзс	складзе
цяжкой	цяжкай
існуюнь	існуюць
лружбу	дружбу
побласці	вобласці
нрадстаўнікі	прадстаўнікі
спсвакі	спевакі
здымнах	здымках
назван	назвай
намбінат	камбінат
Крайко	Крайка
савецклга	савецкага
спеныялісты	спецыялісты
Каэлоў	Казлоў
грамадсгва	грамадства
лічань	лічаць
гсраізму	гераізму
арганізаныям	арганізацыям
выстаўна	выстаўка
уэнагароджаны	узнагароджаны
гасцеіі	гасцей
пыступленні	выступленні
спсцыяльна	спецыяльна
грамадствв	грамадства
рлбочым	рабочым
нрамысловыя	прамысловыя
прыіішоў	прыйшоў
вырашынь	вырашыць
спектлкль	спектакль
такоіі	такой
эаклікаў	заклікаў
заглянем	заглянём
сельсавста	сельсавета
студзнтаў	студэнтаў
гсраічнага	гераічнага
паэіцыі	пазіцыі
руснай	рускай
перашколы	перашкоды
самаго	самага
сквзаў	сказаў
іграюнь	іграюць
нросты	просты
палаючай	падаючай
сельскагаснадарчых	сельскагаспадарчых
эасталася	засталася
нароткай	кароткай
валюцыі	палюцыі
палрыхтоўкі	падрыхтоўкі
пааінен	павінен
спалабалася	спадабалася
брвтніх	братніх
лічынна	лічынка
эямлёй	зямлёй
апавяланне	апавяданне
рздактара	рэдактара
глядзслі	глядзелі
вышэншых	вышэйшых
асаблівасні	асаблівасці
адпачы	адпячы
Канлрата	Кандрата
сочынь	сочыць
уэдыме	уздыме
зоўважыў	заўважыў
хлопнаў	хлопцаў
ііашага	нашага
лраматычнага	драматычнага
Астроў	Астраў
зовочна	завочна
сельгкай	сельскай
аялікае	вялікае
зборпік	зборнік
пазбаўленыя	пазбаўлення
эаходніх	заходніх
нарадзс	нарадзе
адчуваешіа	адчуваецца
свстлай	светлай
Адамавіча	Адамовіча
падзен	падзей
запярэчынь	запярэчыць
заўгёды	заўсёды
панінна	павінна
унівсрсітэта	універсітэта
пазнаё	пазнае
зяленага	зялёнага
асфальтаваныя	асфальтавання
Максімовіч	Максімавіч
тэхніні	тэхнікі
шэсііь	шэсць
Архіпаў	Архіваў
кабінене	кабінеце
эадуму	задуму
выхаван	выхавай
пачвтку	пачатку
гврадоў	гарадоў
эаканамерна	заканамерна
Большаснь	Большасць
пазнен	пазней
эаслужаная	заслужаная
карцінс	карціне
жынуць	жывуць
Тарасу	Таросу
алпачыць	адпачыць
развішіём	развіццём
гутвркі	гутаркі
Міністэрстпа	Міністэрства
ругкай	рускай
яртыста	артыста
бяжынь	бяжыць
падрыхтавань	падрыхтаваць
калентыву	калектыву
млстацкай	мастацкай
снектакль	спектакль
будаўнінтве	будаўніцтве
эмяшчаем	змяшчаем
дзмакратыі	дэмакратыі
аглялу	агляду
праблсм	праблем
эаходнія	заходнія
эапісы	запісы
Дэмітрый	Дзмітрый
палкрэслена	падкрэслена
кярціны	карціны
спсцыяльныя	спецыяльныя
здолен	здолей
пералавой	перадавой
яблічча	аблічча
псраклады	пераклады
плмяшканні	памяшканні
Францыяй	Фракцыяй
быццлм	быццам
аыканаць	выканаць
эамежныя	замежныя
увагаіі	увагай
раздзе	раздае
другоіі	другой
тнорчасці	творчасці
асвасння	асваення
крычынь	крычыць
энішчылі	знішчылі
добраіі	добрай
мясновай	мясцовай
неснай	цеснай
Праўдл	Праўда
вывалы	вывады
бсларускімі	беларускімі
